match_id,home_team,away_team,kickoff_utc,generated_at_utc,group,ground,round,stage
WC-041,Egypt,Iran,2026-06-27T03:00:00Z,2026-06-23T10:00:00Z,Group G,Seattle,Matchday 16,group
WC-042,New Zealand,Belgium,2026-06-27T03:00:00Z,2026-06-23T10:00:00Z,Group G,Vancouver,Matchday 16,group
WC-047,Cape Verde,Saudi Arabia,2026-06-27T00:00:00Z,2026-06-23T10:00:00Z,Group H,Houston,Matchday 16,group
WC-048,Uruguay,Spain,2026-06-27T00:00:00Z,2026-06-23T10:00:00Z,Group H,Guadalajara (Zapopan),Matchday 16,group
WC-059,Algeria,Austria,2026-06-28T02:00:00Z,2026-06-23T10:00:00Z,Group J,Kansas City,Matchday 17,group
WC-060,Jordan,Argentina,2026-06-28T02:00:00Z,2026-06-23T10:00:00Z,Group J,Dallas (Arlington),Matchday 17,group
WC-065,Colombia,Portugal,2026-06-27T23:30:00Z,2026-06-23T10:00:00Z,Group K,Miami (Miami Gardens),Matchday 17,group
WC-066,DR Congo,Uzbekistan,2026-06-27T23:30:00Z,2026-06-23T10:00:00Z,Group K,Atlanta,Matchday 17,group
WC-071,Panama,England,2026-06-27T21:00:00Z,2026-06-23T10:00:00Z,Group L,New York/New Jersey (East Rutherford),Matchday 17,group
WC-072,Croatia,Ghana,2026-06-27T21:00:00Z,2026-06-23T10:00:00Z,Group L,Philadelphia,Matchday 17,group
